什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎
白喉疫苗保護力可以持續多久？,接種四劑DTaP疫苗後，其白喉免疫效力約為95％，約可維持10年
接種後或投藥後要注意什麼,白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗不建議用於超過7歲的孩童或成人，因為所含的白喉類毒素及百日咳抗原的量可能引起較大的局部反應、發燒與不適
這是接種的副作用嗎？,接種後1-3天可能發生注射部位紅腫、酸痛，偶爾有哭鬧不安、疲倦、食慾不振或嘔吐等症狀，通常2-3天後會恢復
疑似感染白喉了怎麼辦？,如出現任何疑似症狀，應儘速與衛生單位聯繫，戴上口罩立即就醫，並告知醫師有白喉病人接觸史
罹患白喉要注意什麼？,為防止疫情擴散，請配合衛生單位施行必要之隔離、治療、消毒、採檢及接觸者及感染源之調查
罹患白喉有需要隔離？,白喉個案需要隔離至2次細菌培養呈陰性反應為止。(分別從鼻、喉取樣，2次取樣時間須間隔24小時以上，且和最後1次用藥時距不得少於24小時)
罹患白喉可以上班上課？,白喉個案需要隔離至2次細菌培養呈陰性反應為止。(分別從鼻、喉取樣，2次取樣時間須間隔24小時以上，且和最後1次用藥時距不得少於24小時)
我需要作白喉篩檢嗎？,無需篩檢，但所有親密接觸者均須採檢送驗，以進行鼻、咽喉檢體之細菌培養，並嚴密監視7天
疑似罹患白喉要去哪裡就醫？,應戴上口罩立即至兒科、感染科或家醫科等醫療院所就醫，並告知醫師有白喉病人接觸史
白喉要怎麼治療？,一旦懷疑可能是白喉，採檢後無須等待細菌學檢驗確定，即立刻給予抗毒素，在施行之前應先做過敏試驗確定無問題後，再依症狀、持續時間長短、疾病嚴重程度及地區環境因素，給予抗毒素
白喉用藥有哪些種類？,口服紅黴素或肌肉注射盤尼西林
服用白喉用藥有哪些副作用？,請參考用藥說明
白喉用藥可否自行停藥？,不可以自行停藥，應依醫囑確實服藥至療程屆滿為止
接種疫苗可能發生的反應？應該怎麼處理？,如接種部位紅腫、硬塊不退、接種後持續高燒或發生嚴重過敏反應及不適症狀，應儘速請醫師處理
什麼是先天性德國麻疹？,孕婦若感染德國麻疹，病毒可透過胎盤垂直傳染給胎兒，可能會造成死產、流產，嬰兒出生也可能有先天性耳聾、青光眼、白內障、小腦症、智能不足及先天性心臟病等缺陷，統稱為先天性德國麻疹症候群
先天性德國麻疹會有什麼症狀？,若孕婦感染德國麻疹，病毒可能透過胎盤垂直傳染給胎兒，造成死產、自然流產或胎兒主要器官受損，如先天性耳聾、青光眼、白內障、小腦症、智能不足及先天性心臟病等
罹患先天性德國麻疹的嚴重性？,懷孕最初10週內感染，嬰兒有高達90%的機會產生先天性缺陷
先天性德國麻疹有什麼併發症,若孕婦感染德國麻疹，病毒可能透過胎盤垂直傳染給胎兒，造成死產、自然流產或胎兒主要器官受損，如先天性耳聾、青光眼、白內障、小腦症、智能不足及先天性心臟病等
先天性德國麻疹有哪些高風險族群,孕婦為高風險族群，若孕婦感染德國麻疹，病毒可能透過胎盤垂直傳染給胎兒
先天性德國麻疹傳染途徑為何？,孕婦感染德國麻疹，病毒可能透過胎盤垂直傳染給胎兒
先天性德國麻疹潛伏期和可傳染期,德國麻疹的潛伏期平均約為14到17天，最長可至21天。可傳染期為出疹前七天至出疹後七天
先天性德國麻疹的國內流行期,德國麻疹好發於春季或冬季，其大流行通常為每10～15年一次
先天性德國麻疹流行地區有哪些,德國麻疹為世界性疾病
如何預防先天性德國麻疹,孕婦於懷孕期間避免感染德國麻疹。建議育齡婦女於婚前或婚後孕前進行德國麻疹抗體檢測，如為陰性，應在懷孕前儘速接種疫苗。
除了接種或投藥外的先天性德國麻疹預防方法,做好個人衛生，若需前往較擁擠的公共場所，請戴上口罩
何時需要進行先天性德國麻疹的預防接種或投藥,1.出生滿12個月，及滿5歲至入國小前各接種一劑「麻疹、腮腺炎、德國麻疹（MMR）混合疫苗」
我可以公費接種或投藥嗎？,"目前政府針對以下對象提供公費MMR疫苗接種：
 1.幼兒常規預防接種、學幼童補接種。
 2.經檢驗相關抗體呈陰性之育齡婦女(15-49歲)。"
接種前要經過醫師評估？,"1.已知對「蛋」之蛋白質或疫苗的成份有嚴重過敏者，不予接種。
 2.孕婦不宜接種，女性接種後4週內應避免懷孕。"
接種德國麻疹疫苗需要額外付費嗎？,自費接種MMR疫苗所需費用，一劑大約是$280~$500元，掛號及診療費約是$250~700元
我現在適合接種先天性德國麻疹疫苗嗎？,"1.已知對「蛋」之蛋白質或疫苗的成份有嚴重過敏者，不予接種。
 2.孕婦不宜接種，女性接種後4週內應避免懷孕。
 3.已知患有嚴重免疫缺失者不宜接種。"
我想了解先天性德國麻疹疫苗或預防藥品,MMR疫苗是用來預防麻疹、腮腺炎、德國麻疹的活性減毒疫苗，其預防效果平均可達95％以上，並可獲長期免疫。
該接種幾劑？,幼兒常規預防接種為兩劑。育齡婦女之公費施打為1劑。其他自費部分請依醫師評估接種劑數。
疫苗保護力可以持續多久？,曾有研究顯示接受MMR疫苗注射後可維持至少15年的保護力，但由於抗體濃度在個體間的差異極大，因此最好的方法是接受血液抗體濃度檢測後，視情況予以追加施打。
接種後或投藥後要注意什麼,若接種後出現副作用或感到不適請至附近醫療院所就診。
這是接種的副作用嗎？,接種MMR疫苗後，局部反應較少。麻疹疫苗成分，約5-10%施打對象在接種後5-12天，會有皮疹、咳嗽、鼻炎或發燒等症狀。
有副作用去哪裡就醫,請儘速至附近醫療院所就醫。
疑似感染先天性德國麻疹了怎麼辦？,若出現發燒、出疹等疑似症狀時，請戴上口罩，儘速至附近醫療院所就醫。
罹患先天性德國麻疹要注意什麼？,先天性德國麻疹症候群嬰兒於出生後數個月仍會傳播德國麻疹病毒，甚至長達一年。
罹患先天性德國麻疹有需要隔離？,先天性德國麻疹症候群病嬰，可長期排出病毒至1歲左右，故此期間仍需隔離。
疑似罹患先天性德國麻疹要去哪裡就醫？,若出現發燒、出疹等疑似症狀時，請戴上口罩，儘速至附近醫療院所就醫。
先天性德國麻疹要怎麼治療？,感染德國麻疹後，一般無特殊治療，大都以支持性療法為主。
什麼是百日咳？,百日咳是一種侵犯呼吸道、具高度傳染性的急性細菌性疾病，致病原是百日咳桿菌(Bordetella pertussis bacterium)，典型症狀有持續性陣咳
百日咳會有什麼症狀？,初期為黏膜期，此時傳染力強但症狀不明顯，只有輕微咳嗽等類似感冒症狀，持續1–2週後症狀演進為陣發性咳嗽，此時傳染力逐漸降低，惟咳嗽或哮喘仍可持續1–2個月或更長
罹患百日咳的嚴重性？,在未具免疫力之群體，特別是營養狀況不良或併有其它感染時，百日咳最容易導幼兒死亡
百日咳有什麼危險徵兆,連續性咳嗽會咳到無法吸氣而缺氧、接著產生帶咻咻聲的吸入性哮喘等，通常好發於5歲以下幼童特別是未滿6個月、尚未完成疫苗接種的新生兒，若不慎感染，六、七成需住院，
百日咳有什麼併發症,併發症中以肺炎為主要，嚴重者可致死亡，另外亦可能併發呼吸停止、缺氧、癲癇，偶而會併發缺氧性腦症或因持續性嘔吐引起營養失調等。
百日咳有哪些高風險族群,百日咳好發於五歲以下幼童，而六個月的嬰兒是併發症與死亡高危險群
百日咳傳染途徑為何？,主要是由飛沫傳染，在普遍施打疫苗的環境下，病菌經常是由兄弟姊妹或父母帶回家散播給年齡較小的小孩
百日咳潛伏期和可傳染期,潛伏期一般約為9至10天，黏膜早期陣發性咳嗽未出現之前即具有高度傳染性，之後傳染力逐漸降低，約3週之後縱使病人仍有持續痙攣性咳嗽或哮喘，但已不再具有傳染性
百日咳的國內流行期,無明顯季節性
百日咳流行地區有哪些,百日咳雖為古老的傳染病，但從未絕跡，近年更在美國、英國、澳洲等全球各地造成嚴重疫情，頗有捲土重來之勢。此一病菌，目前持續在已開發及開發中國家的社區反覆流行
如何預防百日咳,百日咳疫苗接種對於疾病的預防發生有效，但是對於已感染者傳播疾病的控制無效
除了接種或投藥外的百日咳預防方法,應儘量避免出入人潮擁擠之公共場所，擔心被感染的易感族群可戴口罩，並勤洗手，避免以手碰觸口鼻等黏膜處。避免帶未滿1歲或未接種疫苗的嬰幼兒至流行地區
何時需要進行百日咳的預防接種或投藥,目前政府提供2個月、4個月、6個月及18個月大幼兒免費接種白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗 (DTaP-Hib-IPV)
我可以公費接種或投藥嗎？,目前政府提供2個月、4個月、6個月及18個月大幼兒免費接種白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗 (DTaP-Hib-IPV)。
接種百日咳疫苗該帶什麼證件？,接種時請攜帶您與寶寶的身分證明文件，以及寶寶的兒童健康手冊(內含預防接種紀錄卡)。
有擴大施打對象嗎？,無。
接種前要經過醫師評估？,是。
需要額外付費嗎？,嬰幼兒接種本項疫苗是由政府免費提供，但衛生所及合約醫療院所可酌收掛號、診察等費用。
我現在適合接種百日咳疫苗嗎？,若距離最後一次破傷風疫苗接種超過 10 年，建議每10 年追加1 劑Td，而其中高危險群如醫療照護人員、孕前婦女、嬰兒照顧者應優先以Tdap 疫苗接種1 劑。
百日咳疫苗有哪些種類,"1.白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗 (DTaP-Hib-IPV)。
 2.白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗(DTaP-IPV)"
百日咳疫苗有哪些廠牌,目前台灣進口疫苗製造廠或代理商有賽諾菲股份有限公司、荷商葛蘭素史克藥廠股份有限公司台灣分公司
該接種幾劑？,出生滿2個月至入國小前幼童需接種5劑疫苗
百日咳疫苗保護力可以持續多久？,疫苗的保護期限約6至10年
接種後或投藥後要注意什麼,白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗不建議用於超過7歲的孩童或成人，因為所含的白喉類毒素及百日咳抗原的量可能引起較大的局部反應、發燒與不適
這是接種的副作用嗎？,接種後1-3天可能發生注射部位紅腫、酸痛，偶爾有哭鬧不安、疲倦、食慾不振或嘔吐等症狀，通常2-3天後會恢復
疑似感染百日咳了怎麼辦？,如出現任何疑似症狀，應戴上口罩立即就醫，並告知醫師是否有百日咳病人接觸史
罹患百日咳要注意什麼？,為防止疫情擴散，請配合衛生單位施行必要之隔離、治療、消毒、採檢及接觸者及感染源之調查，追查早期、非典型、遺漏等各式疑似咳嗽病例
罹患百日咳有需要隔離？,個案須加以隔離，避免與孕婦、兒童或嬰兒（特別是未完成百日咳相關疫苗接種者）接觸，直到服了至少5天的抗生素為止
罹患百日咳可以上班上課？,個案須在家休息直到服了至少5天的抗生素為止
我需要作百日咳篩檢嗎？,無需篩檢，但疑似病例、有症狀之密切接觸者、經疫調確認屬「高危險族群」或「高危險暴露族群」之密切接觸者均需採檢
疑似罹患百日咳要去哪裡就醫？,應戴上口罩立即至兒科、感染科或家醫科等醫療院所就醫，並告知醫師有百日咳病人接觸史
百日咳要怎麼治療？,1. 發病早期（潛伏期或黏膜期）即給予抗生素，可減輕症狀，但若已進入陣發期，則無法減輕症狀，但可有效縮短可傳染期 2. 應依醫囑確實服藥至療程屆滿為止
百日咳用藥有哪些種類？,抗生素治療：Macrolide類及TMP- SMX藥物
百日咳用藥後要注意什麼？,應依醫囑確實服藥至療程屆滿為止
服用百日咳用藥有哪些副作用？,中度腹瀉、噁心、嘔吐、胃痛、過敏反應等。
百日咳用藥可否自行停藥？,不可以自行停藥，應依醫囑確實服藥至療程屆滿為止
接種疫苗可能發生的反應？應該怎麼處理？,如接種部位紅腫、硬塊不退、接種後持續高燒或發生嚴重過敏反應及不適症狀，應儘速請醫師處理
什麼是「侵襲性b型嗜血桿菌感染症」？,b 型流行性感冒嗜血桿菌能引起多種侵襲性疾病，主要包括腦膜炎、菌血症、肺炎、蜂窩組織炎、敗血性關節炎、骨髓炎、會厭炎等。
「侵襲性b型嗜血桿菌感染症」會有什麼症狀？,b型嗜血桿菌因感染症的型式不同，會產生不同的症狀。如喉嚨痛、發燒、呼吸困難、嘔吐及發燒等；且感染初期的症狀通常很輕微微，常今人以為是感冒，因而忽略了嚴重性。
罹患「侵襲性b型嗜血桿菌感染症」的嚴重性？,罹患b 型流行性感冒嗜血桿菌所有引起疾病中，以腦膜炎威脅性亦最大，尤其對 5歲以下幼童，15％～30％個案有水腦、腦炎、腦室炎、聽覺障礙、視覺障礙、運動失調、智能不足、抽搐、偏癱等後遺症，即使以有效抗生素治療後，仍有 2％～5％個案死亡。
「侵襲性b型嗜血桿菌感染症」有什麼併發症,b 型流行性感冒嗜血桿菌能引起多種侵襲性疾病，主要包括腦膜炎、菌血症、肺炎、蜂窩組織炎、敗血性關節炎、骨髓炎、會厭炎等，其症狀之表現因感染部位之不同而異。
「侵襲性b型嗜血桿菌感染症」有哪些高風險族群,特別容易得到嚴重的ｂ型嗜血桿菌感染者包括：具人類免疫不全病毒感染、先天性免疫球蛋白缺陷、骨髓移植、先天或後天性無脾臟病症、接受化學治療的癌症等具潛在疾病或特殊醫療情況者。
「侵襲性b型嗜血桿菌感染症」傳染途徑為何？,其傳染途徑包含人與人間之直接接觸，或吸入含有此病原菌之呼吸道分泌物微粒。
「侵襲性b型嗜血桿菌感染症」潛伏期和可傳染期,只要上呼吸道有細菌存在即有傳染性，時間可能很長；開始有效抗生素治療後24～48小時即無傳染性。疾病潛伏期變化極大，目前仍不清楚，可能很短，約2～4天。
「侵襲性b型嗜血桿菌感染症」的國內流行期,侵襲性b型嗜血桿菌感染症流行期有兩個高峰，主要發生於每年10-11月及2-4月。
「侵襲性b型嗜血桿菌感染症」流行地區有哪些,侵襲性 Hib 感染症對於家庭中小於 5 歲幼兒的威脅性大，家長需有警覺，當兒童如有發燒或活動力減退之症狀產生，需立刻送醫診療。
如何預防「侵襲性b型嗜血桿菌感染症」,目前政府提供2個月、4個月、6個月及18個月大幼兒免費接種五合一疫苗 [DTap-Hib-IPV]，家中有適齡嬰幼兒者應按時接種，以避免疾病對兒童健康之危害。
除了接種或投藥外的「侵襲性b型嗜血桿菌感染症」預防方法,"1.均衡飲食、適度運動、充足睡眠，維持良好的個人及環境衞生
2.保持室內空氣流通，避免長期處於密閉空間內
3.避免到過度擁擠、通風不良的場所。"
何時需要進行「侵襲性b型嗜血桿菌感染症」的預防接種或投藥,目前政府提供2個月、4個月、6個月及18個月大幼兒免費接種白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗 (DTaP-Hib-IPV)。
我可以公費接種侵襲性b型嗜血桿菌感染症疫苗或投藥嗎？,目前政府提供2個月、4個月、6個月及18個月大幼兒免費接種白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗 (DTaP-Hib-IPV)。
接種「侵襲性b型嗜血桿菌感染症」疫苗該帶什麼證件？,進行兒童常規接種時，請攜帶您與寶寶的身分證明文件，以及寶寶的兒童健康手冊(內含預防接種紀錄卡)。
接種「侵襲性b型嗜血桿菌感染症」疫苗前要經過醫師評估？,均應由醫師了解接種者之年齡、健康情形、過敏史及醫療與用藥情況，以評估是否適宜接種疫苗。
「侵襲性b型嗜血桿菌感染症」疫苗需要額外付費嗎？,嬰幼兒接種本項疫苗是由政府免費提供，但衛生所及合約醫療院所可酌收掛號、診察等費用。
我現在適合接種「侵襲性b型嗜血桿菌感染症」疫苗嗎？,均應由醫師了解接種者之年齡、健康情形、過敏史及醫療與用藥情況，以評估是否適宜接種疫苗。
我想了解「侵襲性b型嗜血桿菌感染症」疫苗或預防藥品,臺灣自2002年以後「侵襲性b型嗜血桿菌感染症」疫苗，以賽諾菲安萬特藥廠所出產之Tripacel+Act-Hib（四合一）、Pediacel（巴斯德五合一）和荷商葛蘭素史克藥廠所出產之Infanrix-IPV+Hib（嬰護寧五合一）及Infanrix-Hexa（嬰護寧六合一）等混合疫苗（或稱多合一疫苗）為主。國內目前幼兒常規接種疫苗為白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗(DTaP-Hib-IPV)，提供出生滿2、4、6及18個月大之幼兒常規接種。
「侵襲性b型嗜血桿菌感染症」疫苗有哪些種類,臺灣自2002年以後「侵襲性b型嗜血桿菌感染症」疫苗，以賽諾菲安萬特藥廠所出產之Tripacel+Act-Hib（四合一）、Pediacel（巴斯德五合一）和荷商葛蘭素史克藥廠所出產之Infanrix-IPV+Hib（嬰護寧五合一）及Infanrix-Hexa（嬰護寧六合一）等混合疫苗（或稱多合一疫苗）為主。國內於2010年3月1日起全面推行幼兒常規接種白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗(DTaP-Hib-IPV)，提供出生滿2、4、6及18個月大之幼兒常規接種。
「侵襲性b型嗜血桿菌感染症」疫苗有哪些廠牌,2002年以後臺灣地區上市疫苗以賽諾菲藥廠所出產之Tripacel+Act-Hib（四合一）、Pediacel（五合一）和荷商葛蘭素史克藥廠所出產之Infanrix-IPV+Hib（嬰護寧五合一）及Infanrix-Hexa（嬰護寧六合一）等混合疫苗（或稱多合一疫苗）為主。
「侵襲性b型嗜血桿菌感染症」疫苗該接種幾劑？,"1.國內於2010年3月起將五合一疫苗（白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺混合疫苗）納入幼兒常規接種項目，於幼兒出生滿2、4、6及18個月時各接種一劑。
 2.一些年齡較大的兒童和具潛在疾病或特殊醫療需求情況之成年人，感染Hib的風險增加，如果他們未在兒童期接種疫苗，應接種一劑疫苗。"
接種後或投藥後要注意什麼,接種後少數的人可能發生注射部位疼痛、紅腫的反應，一般於接種2天內恢復。發燒、倦怠等嚴重副作用則極少發生。
這是接種的副作用嗎？,接種部位可能有紅腫、疼痛情形，偶爾會有倦怠、輕微發燒的症狀，約1~3天會恢復。較少發生全身性的發燒、倦怠等。
有副作用去哪裡就醫,請儘速至附近醫療院所就醫。
疑似感染「侵襲性b型嗜血桿菌感染症」了怎麼辦？,如出現發發燒、呼吸困難、活動力差、嘔吐、頭痛、嗜睡、咳嗽、呼吸急促、廣泛性腹痛、患部紅腫疼痛等侵襲性肺炎鏈球菌感染，且併發重症，應立即就醫。
罹患「侵襲性b型嗜血桿菌感染症」要注意什麼？,請配合醫護人員指示進行隔離及治療，並注意與病患密切接觸者的健康狀況。期間做好個人及環境衛生，如保持室內空氣流通、注意咳嗽禮節
罹患「侵襲性b型嗜血桿菌感染症」有需要隔離？,對於遭受抗藥性肺炎鏈球菌感染之住院患者，需進行呼吸道隔離措施，以避免其他住院病患遭受感染
疑似罹患「侵襲性b型嗜血桿菌感染症」要去哪裡就醫？,若出現疑似症狀時，請儘速至附近醫療院所就醫。
「侵襲性b型嗜血桿菌感染症」要怎麼治療？,傳統上使用抗生素治療。盡早治療能提高治癒及存活率。
什麼是破傷風？,破傷風由破傷風桿菌之外毒素（exotoxin）所引起，其特徵為痛性之肌肉收縮（最初在咬肌及頸部肌肉，而後為軀幹肌肉）
破傷風會有什麼症狀？,最常見之初症狀為腹部僵硬及肌肉痙攣，典型的破傷風痙攣現象為「角弓反張」(opisthotonus)及臉部表情出現「痙笑」(risus sardonicus)之特徵
罹患破傷風的嚴重性？,致死率約在10％至90％之間，且以老人及小孩為最
破傷風有什麼危險徵兆,無法張開嘴、吞嚥及呼吸困難
破傷風有什麼併發症,喉痙攣、骨折、肺栓塞、吸入性肺炎、呼吸困難而導致死亡
破傷風有哪些高風險族群,沒有接種過疫苗或距離最後一次破傷風疫苗接種超過 10 年者。建議在工作中接觸土壤、污物、動物者及軍人、警察等意外創傷高危險群定期(每10年)追加破傷風類毒素以維持主動免疫力
破傷風傳染途徑為何？,破傷風桿菌芽胞(spore)進入人體之方式，通常是經由受土壤、塵土或動物及人類糞便污染之穿刺傷口而入
破傷風潛伏期和可傳染期,潛伏期約3至21天。大部分病例在14天內發生。傷口污染情形越嚴重者、病況越嚴重者、預後情形越差者，通常潛伏期越短。此疾病不會直接以人傳人之方式傳染
破傷風的國內流行期,台灣自1981年起，每年破傷風之通報病例皆在20例以下，死亡病例也逐年減少至數例
破傷風流行地區有哪些,破傷風病例通常會發生在農業區或低度開發地區，因為該等地區較易與動物之排泄物接觸，或預防接種情形較不完全
如何預防破傷風_,預防破傷風最有效的方法是疫苗接種
除了接種或投藥外的破傷風預防方法,良好的傷口護理。
何時需要進行破傷風的預防接種或投藥,目前政府提供2個月、4個月、6個月及18個月大幼兒免費接種白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗 (DTaP-Hib-IPV)
我可以公費接種或投藥嗎？,目前政府提供2個月、4個月、6個月、18個月大幼兒及滿5歲至入國小前兒童免費接種含破傷風疫苗
接種破傷風疫苗該帶什麼證件？,接種時請攜帶您與寶寶的身分證明文件，以及寶寶的兒童健康手冊(內含預防接種紀錄卡)
有擴大施打對象嗎？,無
接種前要經過醫師評估？,是
需要額外付費嗎？,嬰幼兒接種本項疫苗是由政府免費提供，但衛生所及合約醫療院所可酌收掛號、診察等費用
我現在適合接種破傷風疫苗嗎？,若距離最後一次破傷風疫苗接種超過 10 年，建議每10 年追加1 劑Td，而其中高危險群如醫療照護人員、孕前婦女、嬰兒照顧者應優先以Tdap 疫苗接種1 劑
破傷風疫苗有哪些種類,"1. 白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗 (DTaP-Hib-IPV)
 2. 白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗(DTaP-IPV)"
破傷風疫苗有哪些廠牌,目前台灣進口疫苗製造廠或代理商有賽諾菲股份有限公司、荷商葛蘭素史克藥廠股份有限公司台灣分公司
該接種幾劑？,出生滿2個月至入國小前幼童需接種5劑疫苗。成人若距離最後一次破傷風疫苗接種超過 10 年，建議每10 年追加1 劑Td或Tdap
破傷風疫苗保護力可以持續多久？,完成破傷風類毒素接種所產生之主動免疫力持續至少10年，而暫時性之被動免疫可經由注射破傷風免疫球蛋白（Tetanus immune globulin， TIG）而得
接種後或投藥後要注意什麼,白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗不建議用於超過7歲的孩童或成人，因為所含的白喉類毒素及百日咳抗原的量可能引起較大的局部反應、發燒與不適。
這是接種的副作用嗎？,接種後1-3天可能發生注射部位紅腫、酸痛，偶爾有哭鬧不安、疲倦、食慾不振或嘔吐等症狀，通常2-3天後會恢復
疑似感染破傷風了怎麼辦？,如出現任何疑似症狀，應儘速就醫，並告知醫師有任何傷口有被土壤、塵土或動物及人類糞便污染，或生鏽器具割傷之狀況
罹患破傷風有需要隔離？,不需要
我需要作破傷風篩檢嗎？,不需要
疑似罹患破傷風要去哪裡就醫？,應立即至外科或急診室等醫療院所就醫，並告知醫師有傷口接觸史
破傷風要怎麼治療？,"1.肌肉注射破傷風免疫球蛋白(TIG)，並取少量局部注射於傷口周圍。
 2.抗生素治療；抗生素需持續治療10至14天。
 3.儘可能以擴創術清理傷口"
服用破傷風用藥有哪些副作用？,請參考用藥說明
破傷風用藥可否自行停藥？,不可以自行停藥，應依醫囑確實服藥至療程屆滿為止
接種疫苗可能發生的反應？應該怎麼處理？,如接種部位紅腫、硬塊不退、接種後持續高燒或發生嚴重過敏反應及不適症狀，應儘速請醫師處理
什麼是退伍軍人病？,退伍軍人病是一種由退伍軍人桿菌（Legionella）所引起的疾病。
退伍軍人病會有什麼症狀？,退伍軍人菌感染會引起二種流行病學上完全不同的臨床症狀，即退伍軍人病（Legionnaires’ disease）以及龐提亞克熱（Pontiac fever）。
罹患退伍軍人病的嚴重性？,退伍軍人病患者胸部Ｘ光會出現肺部堅質化且可發展至肺兩側，最後則出現呼吸衰竭，死亡率可高達15.0％，若患者免疫能力有障礙，死亡率會更高。
退伍軍人病有哪些高風險族群,老年人（大多數病患均大於50歲）。
退伍軍人病傳染途徑為何？,退伍軍人病不會人傳人，主要是經由吸入或嗆入含有退伍軍人菌的氣霧或水滴而致病。
退伍軍人病潛伏期和可傳染期,"潛伏期：一般為2～10天，通常為5～6天。
 可傳染期：人與人之間尚未證明有感染。"
退伍軍人病流行地區有哪些,世界各地都有，退伍軍人菌可能出現在任何水源中
如何預防退伍軍人病,退伍軍人菌普遍存在於各類水體環境中，由於目前尚無人傳人的案例報導，因此，控制水中的退伍軍人菌，改變其繁殖所需之條件，為目前最主要的防治概念。
除了接種或投藥外的退伍軍人病預防方法,對於冷卻水塔、溫泉池等各類高風險環境，應定期執行清洗及消毒工作，以降低感染風險。
接種退伍軍人病疫苗需要額外付費嗎？,退伍軍人病目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染退伍軍人病了怎麼辦？,若前往會產生水沫的高風險環境，繼而發生肺炎症狀，則應主動考慮是否有感染退伍軍人病之可能，並遵從醫囑進行治療。
罹患退伍軍人病要注意什麼？,應遵從醫師指示進行治療。
疑似罹患退伍軍人病要去哪裡就醫？,若曾前往會產生水沫的高風險環境，繼而發生上呼吸道感染或肺炎症狀，則應主動提醒醫師旅遊史，以利鑑別是否有感染退伍軍人病之可能，並遵從醫囑進行治療。
退伍軍人病要怎麼治療？,應遵從醫囑進行治療。
什麼是新生兒破傷風？,新生兒破傷風的發生通常是因為臍帶處理不當（不清潔），導致破傷風桿菌感染引起
新生兒破傷風會有什麼症狀？,典型特徵是嬰兒出生幾天(3至28天，通常6天)後，吸吮動作和哭泣情形由正常漸漸轉變為吸奶困難和哭泣微弱，嬰兒呈現牙關緊閉、全身性痙攣、肌肉僵直、角弓反張，導致無法餵奶和進食
罹患新生兒破傷風的嚴重性？,致死率很高，可高達80%，出生後愈早發病，致死率就愈高
新生兒破傷風有什麼危險徵兆,新生兒於出生兩天內具正常之哭泣及吸奶動作，出生3到28天間出現哭聲微弱及吸奶困難現象，伴隨出現牙關緊閉，肌肉僵直，全身痙攣症狀
新生兒破傷風有什麼併發症,死亡
新生兒破傷風有哪些高風險族群,孕婦破傷風疫苗接種率不高，加上不潔接生手續或產科照護不良之嬰兒
新生兒破傷風傳染途徑為何？,由臍帶傷口受破傷風桿菌之芽胞感染而引起
新生兒破傷風潛伏期和可傳染期,潛伏期平均6天，範圍為3至28天。不會由人傳染他人，無可傳染期
新生兒破傷風的國內流行期,我國近年病例極為罕見，1993年及1994年各發生1例，之後未有發生個案，直至2001年再發生1例，該個案母親為新住民，無預防接種史，在家生產，由婆婆以不潔之剪刀斷臍，導致新生兒感染
新生兒破傷風流行地區有哪些,多發生於開發中國家，其孕婦破傷風疫苗接種率不高，加上不潔接生手續或產科照護不良導致高發生率
如何預防新生兒破傷風,破傷風類毒素（Tetanus toxoid）完成接種所產生之主動免疫力持續至少10年，具有主動免疫之母親會使其嬰兒獲得被動免疫而免於罹患新生兒破傷風
除了接種或投藥外的新生兒破傷風預防方法,清潔的安全接生及產後護理，並且加強訓練助產士及消毒接生器具。
何時需要進行新生兒破傷風的預防接種或投藥,出生滿2個月至入國小前幼童需接種5劑疫苗。
我可以公費接種或投藥嗎？,目前政府提供2個月、4個月、6個月、18個月大幼兒及滿5歲至入國小前兒童免費接種含破傷風疫苗。
接種新生兒破傷風疫苗該帶什麼證件？,接種時請攜帶您與寶寶的身分證明文件，以及寶寶的兒童健康手冊(內含預防接種紀錄卡)。
有擴大施打對象嗎？,無。
接種前要經過醫師評估？,是。
需要額外付費嗎？,嬰幼兒接種本項疫苗是由政府免費提供，但衛生所及合約醫療院所可酌收掛號、診察等費用。
我現在適合接種新生兒破傷風疫苗嗎？,成人若距離最後一次破傷風疫苗接種超過 10 年，建議每10 年追加1 劑Td或Tdap，懷孕婦女每次懷孕，於懷孕第28-36週應接種1劑Tdap疫苗。
新生兒破傷風疫苗有哪些種類,成人接種減量破傷風白喉非細胞性百日咳混合疫苗(Tdap)。
