Answer,Question,RelativeQuestion,intent,entities
"基本上接種一劑，建議5年追加接種一劑。
2歲至55歲則僅需注射一劑。您接種後約7~10天即可產生保護力，疫苗保護力約可維持4年，居住在高風險國家，可考慮每4年追加接種一劑疫苗。",流行性腦脊髓膜炎疫苗該接種幾劑?,流行性腦脊髓膜炎疫苗保護力可以持續多久?-接種流行性腦脊髓膜炎疫苗後會有什麼副作用?-如何預防流行性腦脊髓膜炎?,接種幾劑,流行性腦脊髓膜炎
流行性腦脊髓膜炎疫苗在接種約10天後可產生保護力，保護力可維持5年。<br />但9個月以下嬰兒、56(含)歲以上成人尚無足夠的安全性及有效性資料。<br />,流行性腦脊髓膜炎疫苗保護力可以持續多久?,我現在適合接種流行性腦脊髓膜炎疫苗嗎?-流行性腦脊髓膜炎疫苗有哪些廠牌?-流行性腦脊髓膜炎疫苗該接種幾劑?,疫苗保護力,流行性腦脊髓膜炎
接種後若有任何不適或副作用，請儘速就醫，並通知接種疫苗之醫療院所。<br />,接種流行性腦脊髓膜炎疫苗後或投藥後要注意什麼?,流行性腦脊髓膜炎疫苗保護力可以持續多久?-流行性腦脊髓膜炎疫苗有哪些廠牌?-除了接種或投藥外的流行性腦脊髓膜炎預防方法?,接種注意事項,流行性腦脊髓膜炎
接種部位可能有紅腫、疼痛情形，偶爾會有倦怠、輕微發燒的症狀，約1~3天會恢復。請儘速至附近醫療院所就醫。,接種流行性腦脊髓膜炎疫苗後會有什麼副作用?,流行性腦脊髓膜炎疫苗保護力可以持續多久?-疑似罹患流行性腦脊髓膜炎要去哪裡就醫?-疑似罹患流行性腦脊髓膜炎要去哪裡就醫?,疫苗副作用,流行性腦脊髓膜炎
如出現發燒、劇烈頭痛、噁心、嘔吐、頸部僵直、畏光及神經學症狀，像比如說精神錯亂或瘀斑、休克、急性腎上腺出血及多重器官衰竭等流行性腦脊髓膜炎症狀，應立即就醫，並告知醫師旅遊史。,疑似感染流行性腦脊髓膜炎了怎麼辦?,疑似罹患流行性腦脊髓膜炎要去哪裡就醫?-接種流行性腦脊髓膜炎疫苗後會有什麼副作用?-流行性腦脊髓膜炎會有什麼症狀?,疑似感染,流行性腦脊髓膜炎
這問題非常好！請配合醫護人員指示進行隔離及治療，並注意與病患密切接觸者的健康狀況<br />患病期間要做好個人及環境衛生，如保持室內空氣流通、注意咳嗽禮節<br />,罹患流行性腦脊髓膜炎要注意什麼?,流行性腦脊髓膜炎疫苗保護力可以持續多久?-接種流行性腦脊髓膜炎疫苗後會有什麼副作用?-流行性腦脊髓膜炎要怎麼治療?,感染注意事項,流行性腦脊髓膜炎
myURL-https://www.cdc.gov.tw/Category/MPage/Kb_TKYMupIzADbO5JKZE2g,我需要做流行性腦脊髓膜炎篩檢嗎?,流行性腦脊髓膜炎要怎麼治療?-流行性腦脊髓膜炎傳染途徑為何?-流行性腦脊髓膜炎流行地區有哪些?,篩檢,流行性腦脊髓膜炎
若出現疑似症狀時，請儘速至附近醫療院所就醫。,疑似罹患流行性腦脊髓膜炎要去哪裡就醫?,我需要做流行性腦脊髓膜炎篩檢嗎?-流行性腦脊髓膜炎傳染途徑為何?-流行性腦脊髓膜炎有哪些高風險族群?,就醫地點,流行性腦脊髓膜炎
好問題！傳統上使用抗生素治療。盡早治療可以提高治癒及存活率！。,流行性腦脊髓膜炎要怎麼治療?,我能公費使用流行性腦脊髓膜炎用藥?-如何預防流行性腦脊髓膜炎?-除了接種或投藥外的流行性腦脊髓膜炎預防方法?,診斷與治療,流行性腦脊髓膜炎
,我能公費使用流行性腦脊髓膜炎用藥?,服用流行性腦脊髓膜炎用藥有哪些副作用?-流行性腦脊髓膜炎用藥有哪些廠牌?-流行性腦脊髓膜炎用藥可否自行停藥?,公費藥劑,流行性腦脊髓膜炎
,我適合使用流行性腦脊髓膜炎用藥?,流行性腦脊髓膜炎要怎麼治療?-流行性腦脊髓膜炎用藥可否自行停藥?-了解流行性腦脊髓膜炎用藥?,合適用藥,流行性腦脊髓膜炎
,能自行領用流行性腦脊髓膜炎用藥?,服用流行性腦脊髓膜炎用藥有哪些副作用?-這是流行性腦脊髓膜炎治療後的副作用嗎?-了解流行性腦脊髓膜炎用藥?,自行領藥,流行性腦脊髓膜炎
自費接種流行性腦脊髓膜炎疫苗所需費用，施打一劑是$1266元，掛號及診療費約是$250~700元。,自費流行性腦脊髓膜炎用藥藥多少錢?,流行性腦脊髓膜炎要怎麼治療?-流行性腦脊髓膜炎用藥有哪些廠牌?-流行性腦脊髓膜炎用藥後要注意什麼?,自費用藥,流行性腦脊髓膜炎
治療首選用藥為注射合適劑量之Ceftriaxone或Penicillin，但須考量不同地區Penicillin抗藥菌株流行的狀況<br />所有臨床分離菌株均會執行藥敏試驗，斟酌合適臨床用藥，確保治療效果。且醫師會根據個人的病史、藥敏史、就醫紀錄酌予調整<br />,了解流行性腦脊髓膜炎用藥?,流行性腦脊髓膜炎用藥後要注意什麼?-流行性腦脊髓膜炎用藥可否自行停藥?-服用流行性腦脊髓膜炎用藥有哪些副作用?,用藥介紹,流行性腦脊髓膜炎
,流行性腦脊髓膜炎用藥有哪些廠牌?,我能公費使用流行性腦脊髓膜炎用藥?-流行性腦脊髓膜炎用藥後要注意什麼?-服用流行性腦脊髓膜炎用藥有哪些副作用?,用藥類別,流行性腦脊髓膜炎
,流行性腦脊髓膜炎用藥後要注意什麼?,這是流行性腦脊髓膜炎治療後的副作用嗎?-流行性腦脊髓膜炎用藥有哪些廠牌?-服用流行性腦脊髓膜炎用藥有哪些副作用?,用藥注意事項,流行性腦脊髓膜炎
,這是流行性腦脊髓膜炎治療後的副作用嗎?,流行性腦脊髓膜炎要怎麼治療?-服用流行性腦脊髓膜炎用藥有哪些副作用?-流行性腦脊髓膜炎用藥後要注意什麼?,治療副作用,流行性腦脊髓膜炎
,服用流行性腦脊髓膜炎用藥有哪些副作用?,我能公費使用流行性腦脊髓膜炎用藥?-流行性腦脊髓膜炎用藥後要注意什麼?-服用流行性腦脊髓膜炎用藥有哪些副作用?,用藥副作用,流行性腦脊髓膜炎
,流行性腦脊髓膜炎用藥可否自行停藥?,流行性腦脊髓膜炎要怎麼治療?-這是流行性腦脊髓膜炎治療後的副作用嗎?-了解流行性腦脊髓膜炎用藥?,自行停藥,流行性腦脊髓膜炎
病人應持續呼吸道隔離至抗生素開始治療後24小時,罹患流行性腦脊髓膜炎有需要隔離?,流行性腦脊髓膜炎會有什麼症狀?-如何預防流行性腦脊髓膜炎?-疑似感染流行性腦脊髓膜炎了怎麼辦?,隔離,流行性腦脊髓膜炎
myURL-https://www.cdc.gov.tw/Category/List/zi5C0HJ6MW5ZnrJU-ikNOQ,流行性腦脊髓膜炎有什麼最新消息?,流行性腦脊髓膜炎會有什麼症狀?-如何預防流行性腦脊髓膜炎?-什麼是流行性腦脊髓膜炎?,最新消息,流行性腦脊髓膜炎
myURL-https://www.cdc.gov.tw/Category/MPage/Kb_TKYMupIzADbO5JKZE2g,流行性腦脊髓膜炎有哪些重要指引教材?,流行性腦脊髓膜炎會有什麼症狀?-如何預防流行性腦脊髓膜炎?-什麼是流行性腦脊髓膜炎?,重要指引及教材,流行性腦脊髓膜炎
,流行性腦脊髓膜炎該如何家裡清潔?,流行性腦脊髓膜炎會有什麼症狀?-如何預防流行性腦脊髓膜炎?-什麼是流行性腦脊髓膜炎?,家裡清潔,流行性腦脊髓膜炎
,流行性腦脊髓膜炎有哪些重要表單?,流行性腦脊髓膜炎會有什麼症狀?-如何預防流行性腦脊髓膜炎?-什麼是流行性腦脊髓膜炎?,重要表單,流行性腦脊髓膜炎
,流行性腦脊髓膜炎的問與答?,流行性腦脊髓膜炎會有什麼症狀?-如何預防流行性腦脊髓膜炎?-什麼是流行性腦脊髓膜炎?,問與答,流行性腦脊髓膜炎
myURL-https://www.cdc.gov.tw/Category/List/WATtVKCtMyPIcOABVqn3Ug,流行性腦脊髓膜炎有哪些研究出版?,流行性腦脊髓膜炎會有什麼症狀?-如何預防流行性腦脊髓膜炎?-什麼是流行性腦脊髓膜炎?,研究出版,流行性腦脊髓膜炎
myURL-https://www.cdc.gov.tw/Category/List/BbHbrxDEXKL2-uo7VG5n5w,流行性腦脊髓膜炎有哪些宣導素材?,流行性腦脊髓膜炎會有什麼症狀?-如何預防流行性腦脊髓膜炎?-什麼是流行性腦脊髓膜炎?,宣導素材,流行性腦脊髓膜炎
高海拔疾病主要是指人體處在高海拔地區時，因高海拔特殊環境所導致的健康風險，又稱「高山症」。<br />隨著海拔高度的上升，會使得大氣壓力下降，導致氧氣的分壓降低。高海拔疾病通常是因為身體適應高地環境的速度趕不上高度上升的速度，導致低血氧而引起的<br />,什麼是高海拔疾病?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-疑似感染高海拔疾病了怎麼辦?,認識疾病,高海拔疾病
這問題非常好！如果是急性高山病，會因缺氧出現頭痛、頭暈、失眠、噁心、嘔吐、厭食、虛弱等非特異性症狀，大部分的人到達高海拔地區1~12小時後會開始出現症狀，然後再2~3天後會隨著身體適應環境而緩解<br />少數發生急性高山病的旅客，會惡化為腦水腫，症狀包括嚴重頭痛、嗜睡、意識不清、運動失調、甚至昏迷。而步態不穩是高海拔腦水腫的重要指標<br />如出現高海拔肺水腫症狀，會出現運動能力變差、休息狀態下仍不停喘氣、乾咳、胸悶，隨著疾病惡化會出現呼吸困難、咳嗽帶血、發紺。致死率比另外兩種高海拔疾病更高！<br />,高海拔疾病會有什麼症狀?,高海拔疾病傳染途徑為何?-高海拔疾病流行地區有哪些?-如何預防高海拔疾病?,臨床症狀,高海拔疾病
若沒有給予妥善治療或降低高度，高海拔疾病可能致死！。,罹患高海拔疾病的嚴重性?,高海拔疾病傳染途徑為何?-高海拔疾病流行地區有哪些?-如何預防高海拔疾病?,嚴重性,高海拔疾病
這問題非常好！如果是急性高山病，會因缺氧出現頭痛、頭暈、失眠、噁心、嘔吐、厭食、虛弱等非特異性症狀，大部分的人到達高海拔地區1~12小時後會開始出現症狀，然後再2~3天後會隨著身體適應環境而緩解。少數發生急性高山病的旅客，會惡化為腦水腫，症狀包括嚴重頭痛、嗜睡、意識不清、運動失調、甚至昏迷。而步態不穩是高海拔腦水腫的重要指標。如出現高海拔肺水腫症狀，會出現運動能力變差、休息狀態下仍不停喘氣、乾咳、胸悶，隨著疾病惡化會出現呼吸困難、咳嗽帶血、發紺。致死率比另外兩種高海拔疾病更高！。,高海拔疾病有什麼危險徵兆?,高海拔疾病傳染途徑為何?-高海拔疾病流行地區有哪些?-如何預防高海拔疾病?,危險徵兆,高海拔疾病
這問題非常好！如果是急性高山病，會因缺氧出現頭痛、頭暈、失眠、噁心、嘔吐、厭食、虛弱等非特異性症狀，大部分的人到達高海拔地區1~12小時後會開始出現症狀，然後再2~3天後會隨著身體適應環境而緩解。少數發生急性高山病的旅客，會惡化為腦水腫，症狀包括嚴重頭痛、嗜睡、意識不清、運動失調、甚至昏迷。而步態不穩是高海拔腦水腫的重要指標。如出現高海拔肺水腫症狀，會出現運動能力變差、休息狀態下仍不停喘氣、乾咳、胸悶，隨著疾病惡化會出現呼吸困難、咳嗽帶血、發紺。致死率比另外兩種高海拔疾病更高！。,高海拔疾病有什麼併發症?,高海拔疾病傳染途徑為何?-高海拔疾病流行地區有哪些?-如何預防高海拔疾病?,併發症,高海拔疾病
患有心衰竭、肺動脈高壓、心肌缺氧(心絞痛)、鐮刀形貧血、任何型式肺功能不良者有較高風險<br />另外，高海拔疾病的發生與個人體適能無關，快速的攀升有較高機率罹患高海拔疾病<br />快速攀升是指在海拔大於 2000 米以上的高度，每日上升大於 400-600米<br />,高海拔疾病有哪些高風險族群?,高海拔疾病有什麼併發症?-如何預防高海拔疾病?-除了接種或投藥外的高海拔疾病預防方法?,高風險族群,高海拔疾病
,高海拔疾病傳染途徑為何?,高海拔疾病流行地區有哪些?-高海拔疾病會有什麼症狀?-如何預防高海拔疾病?,傳染方式,高海拔疾病
,高海拔疾病潛伏期和可傳染期?,高海拔疾病有哪些高風險族群?-高海拔疾病傳染途徑為何?-高海拔疾病流行地區有哪些?,潛伏期,高海拔疾病
,高海拔疾病的國內流行期?,高海拔疾病流行地區有哪些?-高海拔疾病傳染途徑為何?-高海拔疾病有哪些高風險族群?,流行期,高海拔疾病
在海拔超過2000公尺以上的地區，都有出現高山症的風險<br />常見的旅遊地區包括：<br /> 1.國內高海拔的高山，例如:玉山、雪山、大霸尖山等<br /> 2.國外高海拔區域，例如:青藏鐵路、尼泊爾部分區域、祕魯印加遺址城市 Cuzco等<br />,高海拔疾病流行地區有哪些?,高海拔疾病有什麼併發症?-如何預防高海拔疾病?-除了接種或投藥外的高海拔疾病預防方法?,流行地區,高海拔疾病
要避免快速上升高度，讓身體能慢慢適應高海拔環境。若預計要前往高海拔地區旅遊，活動前30天內可至海拔2750公尺以上的地區停留2天以上，有助於身體適應高地環境<br />你也可以諮詢旅遊醫學門診或其他具高山醫學專業的醫療人員，並依照醫師指示服用高山症預防藥物<br />,如何預防高海拔疾病?,我想了解高海拔疾病疫苗?-高海拔疾病會有什麼症狀?-疑似感染高海拔疾病了怎麼辦?,預防方法,高海拔疾病
好問題！一定要避免快速上升高度，讓身體能慢慢適應高海拔環境。若預計要前往高海拔地區旅遊，活動前30天內可至海拔2750公尺以上的地區停留2天以上，有助於身體適應高地環境<br />那在高海拔地區避免劇烈的活動、不要吸菸、不要喝酒或服用鎮靜劑/安眠藥並注意保暖。<br />你可以食用高碳水化合物、低脂飲食，可增加體內二氧化碳，加快呼吸速率。避免碳酸飲料及豆類等產氣食物，以減少脹氣<br />,除了接種或投藥外的高海拔疾病預防方法?,高海拔疾病有什麼危險徵兆?-高海拔疾病的國內流行期?-接種高海拔疾病疫苗需要額外付費嗎?,以外預防方法,高海拔疾病
這問題非常好！原則上高山症預防性藥物的服用期間為登山(高度超過2750-3000公尺)前24小時到登頂後2~4天。但會因藥物不同而有些許差異。,何時需要進行高海拔疾病的預防接種或投藥?,接種高海拔疾病疫苗該帶什麼證件?-有高海拔疾病疫苗的擴大施打對象嗎?-接種高海拔疾病疫苗前要經過醫師評估?,何時接種,高海拔疾病
,我可以公費接種高海拔疾病疫苗或投藥嗎?,有高海拔疾病疫苗的擴大施打對象嗎?-我想了解高海拔疾病疫苗?-接種高海拔疾病疫苗前要經過醫師評估?,公費疫苗,高海拔疾病
,接種高海拔疾病疫苗該帶什麼證件?,有高海拔疾病疫苗的擴大施打對象嗎?-我可以公費接種高海拔疾病疫苗或投藥嗎?-接種高海拔疾病疫苗前要經過醫師評估?,接種證件,高海拔疾病
,有高海拔疾病疫苗的擴大施打對象嗎?,我想了解高海拔疾病疫苗?-我可以公費接種高海拔疾病疫苗或投藥嗎?-接種高海拔疾病疫苗前要經過醫師評估?,疫苗擴大施打對象,高海拔疾病
,接種高海拔疾病疫苗前要經過醫師評估?,有高海拔疾病疫苗的擴大施打對象嗎?-我可以公費接種高海拔疾病疫苗或投藥嗎?-我想了解高海拔疾病疫苗?,疫苗醫師評估,高海拔疾病
,接種高海拔疾病疫苗需要額外付費嗎?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-疑似感染高海拔疾病了怎麼辦?,疫苗費用,高海拔疾病
,我現在適合接種高海拔疾病疫苗嗎?,高海拔疾病疫苗保護力可以持續多久?-如何預防高海拔疾病?-我想了解高海拔疾病疫苗?,合適接種,高海拔疾病
,我想了解高海拔疾病疫苗?,高海拔疾病疫苗保護力可以持續多久?-了解高海拔疾病用藥?-接種高海拔疾病疫苗後會有什麼副作用?,疫苗接種,高海拔疾病
,高海拔疾病疫苗有哪些廠牌?,高海拔疾病疫苗保護力可以持續多久?-接種高海拔疾病疫苗後會有什麼副作用?-如何預防高海拔疾病?,疫苗類別,高海拔疾病
,高海拔疾病疫苗該接種幾劑?,高海拔疾病疫苗保護力可以持續多久?-接種高海拔疾病疫苗後會有什麼副作用?-如何預防高海拔疾病?,接種幾劑,高海拔疾病
,高海拔疾病疫苗保護力可以持續多久?,我現在適合接種高海拔疾病疫苗嗎?-高海拔疾病疫苗有哪些廠牌?-高海拔疾病疫苗該接種幾劑?,疫苗保護力,高海拔疾病
,接種高海拔疾病疫苗後或投藥後要注意什麼?,高海拔疾病疫苗保護力可以持續多久?-高海拔疾病疫苗有哪些廠牌?-除了接種或投藥外的高海拔疾病預防方法?,接種注意事項,高海拔疾病
,接種高海拔疾病疫苗後會有什麼副作用?,高海拔疾病疫苗保護力可以持續多久?-疑似罹患高海拔疾病要去哪裡就醫?-疑似罹患高海拔疾病要去哪裡就醫?,疫苗副作用,高海拔疾病
降低高度是治療高海拔疾病最有效的唯一方式。,疑似感染高海拔疾病了怎麼辦?,疑似罹患高海拔疾病要去哪裡就醫?-接種高海拔疾病疫苗後會有什麼副作用?-高海拔疾病會有什麼症狀?,疑似感染,高海拔疾病
好問題！降低高度是治療高海拔疾病最有效的唯一方式。千萬不要帶著病患到更高、更不利救援的地方<br />發生任何高海拔疾病的患者，千萬不能落單在營地休息或獨自下撤，至少要由一位具有基本醫療知識、熟悉路況的隊員陪同<br />,罹患高海拔疾病要注意什麼?,高海拔疾病疫苗保護力可以持續多久?-接種高海拔疾病疫苗後會有什麼副作用?-高海拔疾病要怎麼治療?,感染注意事項,高海拔疾病
,我需要做高海拔疾病篩檢嗎?,高海拔疾病要怎麼治療?-高海拔疾病傳染途徑為何?-高海拔疾病流行地區有哪些?,篩檢,高海拔疾病
當發現自己出現疑似高山症症狀時，應趕快知會同伴，讓同行者能隨時留意你的狀況，千萬不要逞強，以免錯過了最好的治療或下撤機會！。,疑似罹患高海拔疾病要去哪裡就醫?,我需要做高海拔疾病篩檢嗎?-高海拔疾病傳染途徑為何?-高海拔疾病有哪些高風險族群?,就醫地點,高海拔疾病
這問題非常好！無論症狀多輕微，都不應到海拔更高處、更不易下撤或救援的地方過夜，如果在同樣高度處休息或用藥治療後症狀沒有改善，就應降低高度<br />高海拔腦水腫、高海拔肺水腫患者應立刻降低高度。藥物、供應氧氣等可以當作替患者爭取救援時間的方法，但一定要立刻下降至少海拔500~1000公尺<br />,高海拔疾病要怎麼治療?,我能公費使用高海拔疾病用藥?-如何預防高海拔疾病?-除了接種或投藥外的高海拔疾病預防方法?,診斷與治療,高海拔疾病
目前高海拔疾病預防用藥須自費；治療用藥則得由健保給付,我能公費使用高海拔疾病用藥?,服用高海拔疾病用藥有哪些副作用?-高海拔疾病用藥有哪些廠牌?-高海拔疾病用藥可否自行停藥?,公費藥劑,高海拔疾病
患蠶豆症或對磺胺類藥物過敏者不適合吃丹木斯<br />當有感染問題時不適合吃類固醇，而同時服用硝酸鹽類藥物的人則不適合吃威而鋼、犀利士<br />此外，孕婦不建議服用上述任一藥物<br />,我適合使用高海拔疾病用藥?,高海拔疾病要怎麼治療?-高海拔疾病用藥可否自行停藥?-了解高海拔疾病用藥?,合適用藥,高海拔疾病
高海拔疾病預防藥物都是醫師處方用藥，須經過醫師評估後使用,能自行領用高海拔疾病用藥?,服用高海拔疾病用藥有哪些副作用?-這是高海拔疾病治療後的副作用嗎?-了解高海拔疾病用藥?,自行領藥,高海拔疾病
不同成份的高海拔疾病用藥收費也不一樣，請洽各醫療院所,自費高海拔疾病用藥藥多少錢?,高海拔疾病要怎麼治療?-高海拔疾病用藥有哪些廠牌?-高海拔疾病用藥後要注意什麼?,自費用藥,高海拔疾病
Acetazolamide(Diamox，丹木斯)是目前預防急性高山病、高海拔腦水腫的一線用藥；類固醇藥物Dexamethasone也有預防效果，使用上還是要遵從醫師建議<br />其他可能可以預防高海拔肺水腫的藥物包括鈣離子阻斷劑Nifedipine、乙型交感神經促進劑β-agonist(Salmeterol)、Tadalafil(Cialis，犀利士)、Sildenafil(Viagra，威而鋼)等<br />,了解高海拔疾病用藥?,高海拔疾病用藥後要注意什麼?-高海拔疾病用藥可否自行停藥?-服用高海拔疾病用藥有哪些副作用?,用藥介紹,高海拔疾病
各家醫療院所有儲備高海拔疾病用藥不盡相同，請洽各醫療院所。<br />,高海拔疾病用藥有哪些廠牌?,我能公費使用高海拔疾病用藥?-高海拔疾病用藥後要注意什麼?-服用高海拔疾病用藥有哪些副作用?,用藥類別,高海拔疾病
若用藥後出現任何不適情形或副作用，請立即停藥並諮詢開立處方的臨床醫師。<br />,高海拔疾病用藥後要注意什麼?,這是高海拔疾病治療後的副作用嗎?-高海拔疾病用藥有哪些廠牌?-服用高海拔疾病用藥有哪些副作用?,用藥注意事項,高海拔疾病
丹木斯(Diamox)的副作用為手腳麻木、腸胃不適、噁心、多尿、口乾、急性閉角性青光眼、Steven-Johnson Syndrome。類固醇(Dexamethasone)的副作用為口乾舌燥、高血壓、高血糖、眼壓升高、青光眼等。,這是高海拔疾病治療後的副作用嗎?,高海拔疾病要怎麼治療?-服用高海拔疾病用藥有哪些副作用?-高海拔疾病用藥後要注意什麼?,治療副作用,高海拔疾病
丹木斯(Diamox)的副作用為手腳麻木、腸胃不適、噁心、多尿、口乾、急性閉角性青光眼、Steven-Johnson Syndrome<br />類固醇(Dexamethasone)的副作用為口乾舌燥、高血壓、高血糖、眼壓升高、青光眼等<br />針對不同成份的高海拔疾病用藥可能出現的副作用有所不同，建議諮詢開立處方的臨床醫師,服用高海拔疾病用藥有哪些副作用?,我能公費使用高海拔疾病用藥?-高海拔疾病用藥後要注意什麼?-服用高海拔疾病用藥有哪些副作用?,用藥副作用,高海拔疾病
請依醫師指示使用藥物。<br />,高海拔疾病用藥可否自行停藥?,高海拔疾病要怎麼治療?-這是高海拔疾病治療後的副作用嗎?-了解高海拔疾病用藥?,自行停藥,高海拔疾病
高海拔疾病不具傳染性，不需要隔離。<br />,罹患高海拔疾病有需要隔離?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-疑似感染高海拔疾病了怎麼辦?,隔離,高海拔疾病
,高海拔疾病有什麼最新消息?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-什麼是高海拔疾病?,最新消息,高海拔疾病
,高海拔疾病有哪些重要指引教材?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-什麼是高海拔疾病?,重要指引及教材,高海拔疾病
,高海拔疾病該如何家裡清潔?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-什麼是高海拔疾病?,家裡清潔,高海拔疾病
,高海拔疾病有哪些重要表單?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-什麼是高海拔疾病?,重要表單,高海拔疾病
,高海拔疾病的問與答?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-什麼是高海拔疾病?,問與答,高海拔疾病
,高海拔疾病有哪些研究出版?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-什麼是高海拔疾病?,研究出版,高海拔疾病
,高海拔疾病有哪些宣導素材?,高海拔疾病會有什麼症狀?-如何預防高海拔疾病?-什麼是高海拔疾病?,宣導素材,高海拔疾病
登革熱是一種藉由病媒蚊叮咬而感染登革病毒的急性傳染病，並且依據不同的血清型病毒，分為Ⅰ、Ⅱ、Ⅲ、Ⅳ四種型別，而每一型都具有能感染致病的能力<br />感染到某一型的登革病毒，就會對那一型的病毒具有終身免疫，但是對於其他型別的登革病毒僅具有短暫的免疫力，還是有可能再感染其他血清型別病毒<br />,什麼是登革熱?,登革熱會有什麼症狀?-如何預防登革熱?-疑似感染登革熱了怎麼辦?,認識疾病,登革熱
每個人的體質不一樣，有些人感染登革熱症狀輕微，甚至不會出現症狀。而典型登革熱的症狀則是會有突發性的高燒（≧38℃），頭痛、後眼窩痛、肌肉痛、關節痛及出疹等現象<br />重複感染不同型登革病毒，可從輕微或不明顯症狀，到發燒、出疹的典型登革熱，或出現嗜睡、躁動不安、肝腫大等警示徵象，甚至可能導致嚴重出血或嚴重器官損傷的登革熱重症<br />,登革熱會有什麼症狀?,登革熱傳染途徑為何?-登革熱流行地區有哪些?-如何預防登革熱?,臨床症狀,登革熱
若是先後感染不同型別之登革病毒，有更高機率導致較嚴重的臨床症狀，如果沒有及時就醫或治療，死亡率可以高達20%以上，所以千萬不能掉以輕心！。,罹患登革熱的嚴重性?,登革熱傳染途徑為何?-登革熱流行地區有哪些?-如何預防登革熱?,嚴重性,登革熱
發病後的第3至5天，若病情突然加劇，如發生劇烈疼痛、抽搐、昏迷、意識狀況及血壓改變等，須注意是否進展為登革熱重症。,登革熱有什麼危險徵兆?,登革熱傳染途徑為何?-登革熱流行地區有哪些?-如何預防登革熱?,危險徵兆,登革熱
感染登革熱時，可能引起不同程度的反應：從輕微或不明顯的症狀，到發燒、出疹的典型登革熱，或出現嗜睡、躁動不安、肝臟腫大等警示徵象，甚至可能導致嚴重出血或嚴重器官損傷的登革熱重症。<br />,登革熱有什麼併發症?,登革熱傳染途徑為何?-登革熱流行地區有哪些?-如何預防登革熱?,併發症,登革熱
病媒蚊對於叮咬對象並無選擇性，每一個人都有可能被病媒蚊叮咬而感染登革熱<br />依據世界衛生組織2009年之登革熱指引，有潛在疾病因素及特定社經狀況之登革熱疑似病患，為登革熱重症的高危險群<br />如糖尿病、腎衰竭、慢性溶血疾病、肥胖、懷孕婦女、嬰兒、老人、獨居或偏遠地區居民等<br />,登革熱有哪些高風險族群?,登革熱有什麼併發症?-如何預防登革熱?-除了接種或投藥外的登革熱預防方法?,高風險族群,登革熱
登革熱的感染方式主要是藉由病媒蚊叮咬人時將登革病毒傳入人體內，並不會由人直接傳染給人，也不會經由空氣或接觸傳染<br />在臺灣傳播登革熱的病媒蚊為斑蚊屬，特徵是身體黑色，腳上有白斑，主要是埃及斑蚊和白線斑蚊兩種。其中埃及斑蚊喜歡棲息於室內，而白線斑蚊大多棲息於室外<br />,登革熱傳染途徑為何?,登革熱流行地區有哪些?-登革熱會有什麼症狀?-如何預防登革熱?,傳染方式,登革熱
一般人感染病毒經3至8天的潛伏期後開始發病，但少數人的潛伏期可達14天<br />病患發病前1天至發病後5天的這段期間，稱為「可傳染期」或「病毒血症期」，因登革病毒存在於血液中，如果病患在這段期間被斑蚊叮咬，那麼這隻斑蚊將感染登革病毒<br />登革病毒在蚊子體內經過8至12天的增殖，這隻斑蚊就具有終身傳染病毒的能力，當牠再叮咬其他人時，就會把體內的登革病毒傳染給另一個人<br />,登革熱潛伏期和可傳染期?,登革熱有哪些高風險族群?-登革熱傳染途徑為何?-登革熱流行地區有哪些?,潛伏期,登革熱
在境外移入病例方面，臺灣每個月都有病例發生，主要來自東南亞鄰近國家，受到登革熱疫情日益嚴峻之影響，15年來病例數逐年攀升<br />經基因親緣性分析顯示，每年本土疫情流行之病毒株多與當年東南亞國家流行之病毒株相近<br />東南亞國家登革熱疫情日趨嚴重，登革病毒侵入臺灣的相對危險性也隨之提高。依據疾病管制署歷年統計資料，每年10月至11月為登革熱流行高峰<br />關於「登革熱」想瞭解更多的話，可點選下列選項</br><a target='_blank' href='https://nidss.cdc.gov.tw/ch/Default.aspx?op=4'>傳染病統計資料查詢系統>登革熱 </a></br>B.  <a target='_blank' href='https://www.cdc.gov.tw/Bulletin/List/MmgtpeidAR5Ooai4-fgHzQ'>新聞稿</a>,登革熱的國內流行期?,登革熱流行地區有哪些?-登革熱傳染途徑為何?-登革熱有哪些高風險族群?,流行期,登革熱
全球登革熱發生的地區，主要在熱帶及亞熱帶有埃及斑蚊及白線斑蚊分布的國家，包括非洲、南美洲、中東、東南亞及西太平洋地區。在部分東南亞國家如印尼、越南、泰國、菲律賓及若干中南美洲國家，已生根成為地方性傳染病<br />臺灣位於亞熱帶地區，像這樣有點熱、又有點溼的環境，正是蚊子最喜歡的生長環境，且臺灣全島皆有登革熱病媒蚊分布，各縣市均有發生流行疫情的風險<br />,登革熱流行地區有哪些?,登革熱有什麼併發症?-如何預防登革熱?-除了接種或投藥外的登革熱預防方法?,流行地區,登革熱
